"","place","room_type","price","neighbourhood_cleansed","minimum_nights"
"379","Antwerp","Entire home/apt",281,"Centraal Station",1
"380","Antwerp","Entire home/apt",277,"Centraal Station",1
"381","Antwerp","Entire home/apt",279,"Centraal Station",1
"382","Antwerp","Entire home/apt",277,"Centraal Station",1
"383","Antwerp","Entire home/apt",66,"Historisch Centrum",1
"384","Antwerp","Entire home/apt",259,"Borgerhout Intra Muros Zuid",7
"385","Antwerp","Entire home/apt",262,"Borgerhout Intra Muros Zuid",5
"386","Antwerp","Private room",247,"Sint-Andries",1
"387","Antwerp","Entire home/apt",271,"Deurne Zuid West",1
"388","Antwerp","Entire home/apt",249,"Universiteitsbuurt",2
"389","Antwerp","Private room",142,"Brederode",3
"390","Antwerp","Entire home/apt",243,"Historisch Centrum",1
"391","Antwerp","Entire home/apt",286,"Historisch Centrum",2
"392","Antwerp","Private room",294,"Zuid",2
"393","Antwerp","Entire home/apt",286,"Universiteitsbuurt",7
"394","Antwerp","Private room",182,"Zurenborg",2
"395","Antwerp","Private room",154,"Amandus - Atheneum",2
"396","Antwerp","Entire home/apt",275,"Zuid",21
"397","Antwerp","Entire home/apt",295,"Harmonie",1
"398","Antwerp","Private room",195,"Oud - Berchem",1
"399","Antwerp","Entire home/apt",259,"Borgerhout Extra Muros",7
"400","Antwerp","Entire home/apt",14,"Haringrode",1
"401","Antwerp","Entire home/apt",243,"Historisch Centrum",2
"402","Antwerp","Entire home/apt",14,"Theaterbuurt-Meir",1
"403","Antwerp","Entire home/apt",289,"Merksem - Heide",1
"404","Antwerp","Entire home/apt",22,"Centraal Station",3
"405","Antwerp","Private room",138,"Oud - Merksem",14
"406","Antwerp","Private room",182,"Zuid",2
"407","Antwerp","Entire home/apt",90,"Zuid",2
"408","Antwerp","Entire home/apt",221,"Stadspark",1
"409","Antwerp","Entire home/apt",243,"Deurne Zuid West",3
"410","Antwerp","Entire home/apt",21,"Theaterbuurt-Meir",1
"411","Antwerp","Entire home/apt",225,"Theaterbuurt-Meir",2
"412","Antwerp","Entire home/apt",214,"Harmonie",2
"413","Antwerp","Entire home/apt",34,"Centraal Station",2
"414","Antwerp","Entire home/apt",25,"Theaterbuurt-Meir",2
"415","Antwerp","Private room",234,"Groenenhoek",1
"416","Antwerp","Entire home/apt",243,"Borgerhout Intra Muros Noord",2
"417","Antwerp","Entire home/apt",272,"Stadspark",2
"418","Antwerp","Entire home/apt",286,"Nieuw - Kwartier Oost",2
"419","Antwerp","Entire home/apt",299,"Haringrode",2
"420","Antwerp","Entire home/apt",249,"Theaterbuurt-Meir",2
"421","Antwerp","Private room",175,"Haringrode",2
"422","Antwerp","Entire home/apt",212,"Amandus - Atheneum",1
"423","Antwerp","Entire home/apt",272,"Sint-Andries",2
"424","Antwerp","Entire home/apt",266,"Zuid",2
"425","Antwerp","Entire home/apt",281,"Harmonie",7
"426","Antwerp","Entire home/apt",295,"Centraal Station",1
"427","Antwerp","Entire home/apt",66,"Centraal Station",1
"428","Antwerp","Entire home/apt",203,"Borgerhout Intra Muros Noord",3
"429","Antwerp","Entire home/apt",299,"Amandus - Atheneum",2
"430","Antwerp","Entire home/apt",259,"Historisch Centrum",2
"431","Antwerp","Entire home/apt",241,"Historisch Centrum",1
"432","Antwerp","Entire home/apt",253,"Stadspark",1
"433","Antwerp","Entire home/apt",66,"Centraal Station",1
"434","Antwerp","Entire home/apt",272,"Zurenborg",2
"435","Antwerp","Entire home/apt",234,"Historisch Centrum",1
"436","Antwerp","Entire home/apt",299,"Zuid",1
"437","Antwerp","Entire home/apt",286,"Universiteitsbuurt",14
"438","Antwerp","Private room",81,"Zuid",3
"439","Antwerp","Entire home/apt",151,"Amandus - Atheneum",30
"440","Antwerp","Private room",241,"Borgerhout Extra Muros",14
"441","Antwerp","Entire home/apt",296,"Universiteitsbuurt",2
"442","Antwerp","Entire home/apt",281,"Brederode",14
"443","Antwerp","Entire home/apt",286,"Universiteitsbuurt",3
"444","Antwerp","Entire home/apt",243,"Groenenhoek",1
"445","Antwerp","Entire home/apt",243,"Historisch Centrum",2
"446","Antwerp","Entire home/apt",80,"Stadspark",2
"447","Antwerp","Entire home/apt",104,"Centraal Station",2
"448","Antwerp","Entire home/apt",295,"Borgerhout Extra Muros",2
"449","Antwerp","Entire home/apt",249,"Stadspark",2
"450","Antwerp","Private room",98,"Nieuw - Zuid",14
"451","Antwerp","Entire home/apt",249,"Stadspark",3
"452","Antwerp","Entire home/apt",256,"Historisch Centrum",1
"453","Antwerp","Entire home/apt",266,"Stadspark",2
"454","Antwerp","Entire home/apt",85,"Theaterbuurt-Meir",1
"455","Antwerp","Entire home/apt",249,"Stadspark",1
"456","Antwerp","Entire home/apt",14,"Historisch Centrum",1
"457","Antwerp","Entire home/apt",143,"Zuid",2
"458","Antwerp","Entire home/apt",263,"Sint-Andries",1
